"data_id","age","language","form","birth_order","ethnicity","sex","zygosity","original_id","norming","longitudinal","source_name","mom_ed","measure","vocab","cross_sectional","demo","n","demo_label"
146677,16,"English (American)","WG","Second","White","Female",NA,"I300100",TRUE,FALSE,"Marchman","Secondary","comprehension",104,TRUE,"All Data",1071,"All Data (n = 1071)"
146678,14,"English (American)","WG","Second","White","Male",NA,"I300118",TRUE,FALSE,"Marchman","College","comprehension",125,TRUE,"All Data",1071,"All Data (n = 1071)"
146679,13,"English (American)","WG","Second","White","Female",NA,"I300119",TRUE,FALSE,"Marchman","Secondary","comprehension",125,TRUE,"All Data",1071,"All Data (n = 1071)"
146680,16,"English (American)","WG","First","White","Male",NA,"I300120",TRUE,FALSE,"Marchman","Some College","comprehension",282,TRUE,"All Data",1071,"All Data (n = 1071)"
146681,13,"English (American)","WG","Second","White","Male",NA,"I300147",TRUE,FALSE,"Marchman","Graduate","comprehension",20,TRUE,"All Data",1071,"All Data (n = 1071)"
146682,13,"English (American)","WG","First","White","Female",NA,"I300148",TRUE,FALSE,"Marchman","Secondary","comprehension",57,TRUE,"All Data",1071,"All Data (n = 1071)"
146683,13,"English (American)","WG","First","White","Male",NA,"I300149",TRUE,FALSE,"Marchman","Secondary","comprehension",40,TRUE,"All Data",1071,"All Data (n = 1071)"
146684,14,"English (American)","WG","First","White","Male",NA,"I300151",TRUE,FALSE,"Marchman","Graduate","comprehension",41,TRUE,"All Data",1071,"All Data (n = 1071)"
146685,15,"English (American)","WG","Second","White","Male",NA,"I300152",TRUE,FALSE,"Marchman","Some College","comprehension",82,TRUE,"All Data",1071,"All Data (n = 1071)"
146686,15,"English (American)","WG","Second","White","Female",NA,"I300153",TRUE,FALSE,"Marchman","Some Graduate","comprehension",164,TRUE,"All Data",1071,"All Data (n = 1071)"
146687,13,"English (American)","WG","First","White","Female",NA,"I300154",TRUE,FALSE,"Marchman","College","comprehension",115,TRUE,"All Data",1071,"All Data (n = 1071)"
146688,15,"English (American)","WG","Second","Other","Female",NA,"I300155",TRUE,FALSE,"Marchman","Secondary","comprehension",343,TRUE,"All Data",1071,"All Data (n = 1071)"
